ID;GERMAN;ENGLISH
239;Jahreszeit;season
240;Winter;winter
241;Frühling;spring
242;Sommer;summer
243;Herbst;fall / autumn
244;Zeitspanne;period
245;Minute;minute
246;Jahrhundert;century
247;Feier;party
248;Bühne;stage
249;Generation;generation
250;Geburt;birth
251;Moment;moment
252;Messe, Jahrmarkt;fair
253;Jahrzehnt;decade
254;Sekunde;second
255;ein bisschen;a little / a bit
256;bis;until
257;Mutter;mother
258;Vater;father
259;Eltern;parents
260;Sohn;son
261;Tochter;daughter
262;Bruder;brother
263;Schwester;sister
264;Geschwister;siblings
265;Ehemann;husband
266;Ehefrau;wife
267;Onkel;uncle
268;Tante;aunt
269;Familie;family
270;Ehe;marriage
271;Hochzeit;wedding
272;Mama;mom
273;Papa;dad
274;Großmutter;grandmother / grandma
275;Großvater;grandfather / grandpa
276;Name;name
277;Schüler;pupil
278;Student;student
279;Doktor;doctor
280;Arbeit;work
281;Autor;author
282;Job;job
283;Model;model
284;Personal;staff
285;Direktor;director
286;Regisseur;director
287;Karriere;career
288;Polizei;police
289;Polizist;policeman
290;Künstler;artist
291;Sekretärin;secretary
292;Arbeiter;worker
293;Anwalt;lawyer
294;professionell;professional
295;Richter;judge
296;Schriftsteller;writer
297;Beamter;officer
298;Wache;guard
299;Schauspieler;actor
300;Schauspielerin;actress
301;Kapitän;captain
302;Soldat;soldier
303;Chef;boss
304;Beruf;profession / occupation
305;Bauer;farmer
306;Architekt;architect
307;Kellner;waiter
308;Kellnerin;waitress
309;Koch;cook
310;müde;tired
311;zweisprachig;bilingual
312;dasselbe;the same
313;nächste;next
314;generell;general
315;echt, wirklich (Adj.);real
316;lokal;local
317;speziell;special
318;vorherig;previous
319;offen;open
320;mein eigenes Auto;my own car
321;persönlich;personal
322;Haupt-;main
323;privat;private
324;sauber;clean
325;dreckig;dirty
326;anders;different
327;links;left
328;rechts;right
329;menschlich;human
330;das letzte / neueste;the recent
331;Rechts-;legal
332;wichtig;important
333;verfügbar;available
334;zukünftig;future
335;möglich;possible
336;beliebt;popular
337;bekannt;well-known
338;offiziell;official
339;endgültig;final
340;ganz;whole
341;nötig;necessary
342;militärisch;military
343;unanhängig;independent
344;verantwortlich;responsible
345;vorzüglich;excellent
346;perfekt;perfect
347;wunderbar, hübsch;beautiful
348;modern;modern
349;positiv;positive
350;normal;normal
351;minimal;minimum
352;maximal;maximum
353;traditionell;traditional
354;falsch;wrong
355;historisch;historical
356;kulturell;cultural
357;interessant;interesting
358;religiös;religious
359;ernst;serious
360;berühmt;famous
361;negativ;negative
362;effizient;efficient
363;effektiv;effective
364;teuer;expensive
365;vertraut sein mit etw.;to be familiar with sth.
366;unmöglich;impossible
367;lebendig;alive
368;geeignet / praktisch;convenient
369;Gegenteil;opposite
370;Angst haben vor;to be afraid of
371;traurig;sad
372;häufig;frequent
373;aus Holz;wooden
374;aus Gold;golden
375;unterschreiben;to sign
376;öffnen;to open
377;denken;to think
378;ändern;to change
379;umdrehen;to return
380;(an)rufen;to call
381;retten;to save
382;eine Datei speichern;to save a file
383;schauen;to look
384;aussehen;to look
385;leben;to live
386;kommen;to come
387;studieren;to study
388;anbieten;to offer
389;geben;to give
390;versuchen;to try
391;beinhalten;to include
392;fragen;to ask
393;präsentieren;to present
394;markieren;to mark
395;fühlen;to feel
396;sich erinnern;to remember
397;anhalten;to stop
398;mit etwas aufhören;to stop doing sth.
399;wünschen;to wish
400;hoffen;to hope
401;suchen;to search / to look for
402;versagen;to fail
403;durch eine Prüfung durchfallen;to fail an exam
404;eine Prüfung bestehen;to pass an exam
405;erhöhen;to raise
406;glauben;to believe
407;folgen;to follow
408;danken;to thank
409;berücksichtigen;to consider
410;scheinen;to seem
411;ruhen;to rest
412;antworten;to answer / to respond
413;vertrauen;to trust
414;enden;to end
415;anfangen;to start / to begin
416;dort;there
417;sehr;very
418;auch;too / also
419;jetzt;now
420;mehr;more
421;so;so
422;wie;as
423;nie;never
424;dann;then
425;hier;here
426;ziemlich;quite / fairly
427;immer;always
428;einmal;once
429;nur;only / just
430;gut (Adv.);well
431;sogar;even
432;immer noch;still
433;allerdings;however
434;wirklich (Adv.);really
435;wieder;again
436;noch nicht;not yet
437;weg;away
438;schon;already
439;wenigstens;at least
440;jemals;ever
441;ansonsten;else
442;normalerweise;usually / normally
443;weit weg;far away
444;im Moment;currently
445;später;later
446;genug;enough
447;bald;soon
448;fast;almost
449;spät;late
450;besonders;especially
451;endlich;finally
452;manchmal;sometimes
453;komplett;completely
454;ungefähr;approximately
455;irgendwo;anywhere
456;zweimal;twice
457;weder … noch;neither … nor
458;entweder … oder;either … or
459;nicht unbedingt;not necessarily
460;definitiv;definitely
461;zusammen;together
462;Haus;house
463;Restaurant;restaurant
464;Strand;beach
465;Hotel;hotel
466;Hof;yard
467;Badezimmer;bathroom
468;Küche;kitchen
469;Flughafen;airport
470;Straße;street
471;Stadt (groß);city
472;Kirche;church
473;Burg;castle
474;Land;country
475;Ort;place
476;entlang;along
477;nach Hause;home
478;Standort;site
479;Zentrum;center
480;Büro;office
481;Gebiet;area / district
482;Adresse;address
483;Abteilung;department
484;Eigentum;property
485;Raum;room / space
486;Markt;market
487;Park;park
488;Garten;garden
489;Region;region
490;Insel;island
491;vor;in front of
492;Bank (Geld);bank
493;Bank (sitzen);bench
494;Bar;bar
495;innen;inside
496;Stadion;stadium
497;Grund, Boden;ground / soil
498;Tal;valley
499;Museum;museum
500;Küste;coast
501;Zone;zone
502;Ecke;corner
503;Allee;avenue / alley
504;Route;route
505;Nachbarschaft;neighborhood
506;Grenze (geogr.);border
507;Turm;tower
508;Gefängnis;prison
509;Palast;palace
510;Stadt;town
511;Hauptstadt;capital
512;Gemeinschaft;community
513;Hafen;port
514;Platz (Stadt);square
515;oben;at the top
516;unten;at the bottom
517;Westen;west
518;Osten;east
519;Norden;north
520;Süden;south
521;Zoo;zoo
522;Bauernhof;farm
523;Gebäude;building
524;Kino;cinema
525;Tisch;table
526;Bett;bed
527;Stuhl;chair
528;Schüssel;bowl
529;Löffel;spoon
530;Flasche;bottle
531;Zeitschrift;magazine
532;Fenster;window
533;Fernseher;television / TV
534;Computer;computer
535;Radio;radio
536;Spiegel;mirror
537;Uhr;clock
538;Handy;mobile phone / cellphone
539;Armbanduhr;watch
540;Sofa;sofa
541;Lampe;lamp
542;Schreibtisch;desk
543;Korb;basket
544;Batterie;battery
545;Seife;soap
546;Bettlaken;bed sheet
547;Bettwäsche;bedding
548;Portmonee;wallet / purse
549;Tür;door
550;Kiste;box
551;Bildschirm;screen
552;Rasierapparat;razor
553;Zahnpasta;toothpaste
554;Telefon;telephone / phone
555;Wand;wall
556;Fußboden;floor
557;Tasche;bag
558;Rad;wheel
559;Schirm;umbrella
560;Dach;roof
561;Schrank;cupboard / cabinet
562;Brief;letter
563;Schlüssel;key
564;Schwimmbad;pool
565;Schwamm;sponge
566;Ding;thing
567;Glocke;bell
568;Schere;scissors
569;Glas;glass
570;Tasse;cup
571;Pfanne;pan
572;Papier;paper
573;Motor;engine / motor
574;Objekt;object
575;Maschine;machine
576;Schnur;string
577;Stück;piece
578;ein Blatt Papier;a piece/sheet of paper
579;Wurzel;root
580;Kette;chain
581;Fahne;flag
582;Roman;novel
583;Puder;powder
584;Kamm;comb
585;durch;through
586;Gabel;fork
587;Messer;knife
588;Zahnbürste;toothbrush
589;Person;person
590;Baby;baby
591;Freund(in);friend
592;fester Freund;boyfriend
593;feste Freundin;girlfriend
594;öffentlich;public
595;Feind;enemy
596;Ausschuss;committee
597;Konferenz;conference
598;Kultur;culture
599;Stiftung;foundation
600;Beziehung;relationship
601;Dorf;village
602;individuell;individual
603;Paar;couple
604;ein Paar Schuhe;a pair of shoes
605;ein paar;some / a few / a couple of
606;Dame;lady
607;Herr;gentleman
608;meine Damen und Herren;ladies and gentlemen
609;Bürger;citizen
610;Opfer;victim
611;Menschen;people
612;Jugend;youth
613;das Reisen;the travelling
614;reisen;to travel
615;Auto;car
616;Fahrrad;bicycle / bike
617;Koffer;suitcase
618;Bus;bus
619;Zug;train
620;Motorrad;motorcycle
621;Boot;boat
622;Flugzeug;airplane / plane
623;fahren (Auto);to drive
624;Rucksack;backpack
625;Reiseführer;guide
626;Besuch;visit
627;Spanisch;Spanish
628;Portugiesisch;Portuguese
629;Karte;map
630;Landstraße;road
631;Schiff;ship
632;Fahrzeug;vehicle
633;Transport;transport / transportation
634;Ausflug;trip
635;Italienisch;Italian
636;Französisch;French
637;Flug;flight
638;Abenteuer;adventure
639;Brücke;bridge
640;Reise;journey
641;Deutsch;German
642;Abreise;departure
643;Tourist;tourist
644;U-Bahn;subway
645;Amerika;America
646;Frankreich;France
647;Deutschland;Germany
648;England;England
649;Vereinigtes Königreich;United Kingdom
650;Großbritannien;Great Britain
651;Europa;Europe
652;China;China
653;im Ausland;abroad
654;Chinesisch;Chinese
655;international;international
656;amerikanisch;American
657;europäisch;European
658;um die Welt;around the world
659;drehen;to turn
660;Reisepass;passport
661;diese(r) hier;this / these
662;diese(r) dort;that / those
663;man;one / you
664;alle;all
665;jeder;everybody / everyone
666;jeden Tag;every day / each day
667;irgendein;some / any
668;der andere;the other one
669;ein anderer;another one
670;etwas;something
671;solche;such
672;beide;both
673;wenig;few
674;alles;everything
675;nichts davon;none of this
676;jemand;somebody / someone
677;nichts;nothing
678;irgendetwas;anything
679;niemand;nobody / no one
680;irgendjemand;anybody / anyone
681;1;one
682;2;two
683;3;three
684;4;four
685;5;five
686;6;six
687;7;seven
688;8;eight
689;9;nine
690;10;ten
691;11;eleven
692;12;twelve
693;13;thirteen
694;14;fourteen
695;15;fifteen
696;16;sixteen
697;17;seventeen
698;18;eighteen
699;19;nineteen
700;20;twenty
701;21;twenty-one
702;30;thirty
703;40;forty
704;50;fifty
705;60;sixty
706;70;seventy
707;80;eighty
708;90;ninety
709;100;one hundred
710;1000;one thousand
711;tausende;thousands
712;1000000;one million
713;Millionen Menschen;millions of people
714;erste;first
715;zweite;second
716;dritte;third
717;vierte;forth
718;fünfte;fifth
719;sechste;sixth
720;siebte;seventh
721;achte;eighth
722;neunte;ninth
723;zehnte;tenth
724;manche;some
725;weniger;less
726;viel;many / much / a lot of
727;letzte;last
728;Zahl;number
729;Menge an;amount of
730;Summe;sum
731;Mehrheit;majority
732;Minderheit;minority
733;Meter;meter
734;Durchschnitt;average
735;Hälfte;half
736;km/h;kilometers per hour
737;enthalten;to contain
738;erhalten, bekommen;to get / to receive
739;respektieren;to respect
740;zustimmen;to agree
741;erscheinen;to appear
742;beobachten;to watch
743;zählen;to count
744;verpassen;to miss
745;füllen;to fill
746;herstellen;to produce
747;reservieren;to reserve
748;mischen;to mix
749;trocknen;to dry
750;fliegen;to fly
751;importieren;to import
752;exportieren;to export
753;helfen;to help
754;Zeit verbringen;to spend time
755;weitermachen;to continue
756;liefern;to deliver
757;verlassen;to leave
758;hassen;to hate
759;annehmen;to assume
760;dienen als;to serve as
761;erstellen;to create
762;hinzufügen;to add
763;besuchen;to visit
764;einführen, vorstellen;to introduce
765;verlangen;to demand
766;erklären;to explain
767;ankommen;to arrive
768;gewinnen;to win
769;schneiden;to cut
770;legen, stellen;to put
771;ankündigen;to announce
772;passen;to fit
773;singen;to sing
774;erlauben;to allow
775;etw. setzen;to set sth.
776;Studium;studies
777;Lehrer;teacher
778;Notiz;note
779;Note (Schule);mark (BE) / grade (AE)
780;Stift;pen
781;Schule;school
782;Programm;program
783;Bildung;education
784;Bereich;section
785;Kurs;course
786;Bibliothek;library
787;Test;test
788;Anwendung;application
789;Studie;study
790;Beispiel;example / instance
791;Klasse;class
792;Wort;word
793;Wissen;knowledge
794;Kapitel;chapter
795;Praxis;practice
796;Institut;institute
797;Idee;idea
798;Professor;professor
799;Präsentation;presentation
800;Vorbereitung;preparation
801;Universität;university
802;Vorlesung;lecture
803;Ziel;goal / aim / objective
804;Bedeutung;meaning
805;Lehre;teaching
806;Training;training
807;Geschichte;history
808;Seite (Buch);page
809;Bericht;report
810;Erklärung;explanation
811;Schwierigkeit;difficulty
812;Dokument;document
813;gestern;yesterday
814;neulich;recently
815;mieten;to rent
816;verkaufen;to sell
817;platzieren;to place
818;Liebe;love
819;Teil;part
820;Dienstleistung;service
821;Liste;list
822;System;system
823;Rezension;review
824;Reihenfolge;order
825;Bestellung;order
826;Gruppe;group
827;Weg;way
828;Typ;type
829;Design;design
830;Fall;case
831;Version;version
832;Mitglied;member
833;Kontrolle;control
834;Wechsel;change
835;Anruf;call
836;Konto;account
837;Profil;profile
838;Stufe;level / stage
839;Beschreibung;description
840;Bild;image / picture
841;Inhalt;content
842;Wert;value
843;Kategorie;category
844;Akt;act
845;Ausrüstung;equipment
846;Problem;problem
847;Seite;side
848;Leistung;performance
849;Option;option
850;Aktivität;activity
851;Ergebnis;result
852;Sachverhalt;issue
853;Vereinbarung;agreement
854;Lösung;solution
855;Herstellung;production
856;Schutz;protection
857;Bau;construction
858;Rückmeldung;response
859;Eintrag;entry
860;Effekt;effect
861;Verstand;mind
862;Wunsch;wish
863;Hoffnung;hope
864;Vereinigung;union
865;Gelegenheit;opportunity / occasion
866;Wahl, Entscheidung;choice
867;Auswahl;selection
868;Grad;degree
869;Angelegenheit;matter
870;Stimme;voice
871;Beleg;evidence
872;Rolle;role
873;Zweck;purpose
874;Erfolg;success
875;Einführung;introduction
876;Gebühr;charge
877;Erholung;rest / recovery
878;Subjekt;subject
879;Dunkelheit;darkness
880;Alternative;alternative
881;Sorte / Art;kind
882;Aufnahme;record
883;Kante;edge
884;größer als;bigger than
885;besser;better
886;am besten;best
887;schlechter;worse
888;am schlechtesten;worst
889;bedecken;to cover
890;auswählen;to choose / to select
891;(sich) vergrößern;to increase
892;bleiben;to stay
893;bauen;to build
894;anwenden;to apply
895;verbessern;to improve
896;wiederholen;to repeat
897;aufwachen;to wake up
898;verstehen;to understand
899;lassen;to let
900;entwickeln;to develop
901;sterben;to die
902;akzeptieren;to accept
903;vermeiden;to avoid / to prevent
904;warten;to wait
905;definieren;to define
906;erreichen;to reach / to achieve
907;schlagen, besiegen;to beat
908;existieren;to exist
909;beeinflussen;to affect
910;verlieren;to lose
911;vergessen;to forget
912;vorbereiten;to prepare
913;sich jm. vorstellen;to introduce oneself to so.
914;schließen;to shut / to close
915;gehören zu;to belong to
916;leiden;to suffer
917;sich erholen;to recover
918;analysieren;to analyze
919;gründen, aufbauen;to establish
920;entdecken;to discover
921;verdienen;to earn
922;Respekt;respect
923;Titel;title
924;Gewinn;benefit
925;Situation;situation
926;Religion;religion
927;Anstrengung;effort
928;Aufmerksamkeit;attention
929;Interesse;interest
930;Wettbewerb;competition / contest
931;Leben;life
932;Ladung;load
933;Erlaubnis;permission
934;Vertrauen;faith
935;Wahrheit;truth
936;Misserfolg;failure
937;Signal;signal
938;Charakter;character
939;Realität;reality
940;Ursprung;origin
941;Schaden;damage
942;Geheimnis;secret
943;Richtung;direction
944;Nichtvorhandensein von;lack of
945;Szene;scene
946;Verhalten;behavior
947;Unterschrift;signature
948;Versuch;attempt
949;Kreis;circle
950;Ausgang;exit
951;Symbol;symbol
952;Position;position
953;Stärke;strength
954;Erfahrung;experience
955;Form;shape
956;Verbindung;relation / connection
957;Furcht;fear
958;Zweifel;doubt
959;Humor;humor
960;Hass;hate
961;Möglichkeit;possibility
962;Verlangen;desire
963;Existenz;existence
964;Vergnügen;pleasure
965;Verantwortung;responsibility
966;Überraschung;surprise
967;Tradition;tradition
968;Gespräch;conversation
969;Trend;trend
970;Schuld;fault
971;Gefallen;favor
972;Redewendung;phrase
973;Einstellung;attitude
974;Mord;murder
975;Mörder;murderer
976;Fehler;mistake / error
977;Ehre;honor
978;Lächeln;smile
979;Gefahr;danger
980;Spaß;joy
981;Eingang;entrance
982;Schatten;shadow
983;Gedächtnis;memory
984;Blume;flower
985;Baum;tree
986;Gras;grass
987;Himmel (Natur);sky
988;Himmel (relig.);heaven
989;Meer;sea
990;See;lake
991;Mond;moon
992;Sonne;sun
993;Welt;world
994;Regen;rain
995;Vulkan;volcano
996;Feuer;fire
997;Luft;air
998;Feld;field
999;Stern;star
1000;Wetter;weather
1001;Natur;nature
1002;Fluss;river
1003;Erde;earth
1004;Berg;mountain
1005;Holz;wood
1006;Wald;forest
1007;Stein;stone
1008;Wind;wind
1009;Hitze;heat
1010;Rose;rose
1011;Planet;planet
1012;hoch;up
1013;runter;down
1014;Klima;climate
1015;Universum;universe
1016;Blatt (Baum);leaf
1017;Landschaft;landscape
1018;Rauch;smoke
1019;Getreide;grain / cereal
1020;Ernte;crop / harvest
1021;Gas;gas
1022;Material;material
1023;Pflanze;plant
1024;Licht;light
1025;Staub;dust
1026;Sand;sand
1027;Sport;sports
1028;Ball;ball
1029;Spaziergang;walk
1030;Mannschaft;team
1031;Spieler;player
1032;Schritt;step
1033;Pfad;path
1034;Tor (Fußball);goal
1035;Punkt;point
1036;Spiel;game
1037;ein Tor erzielen;to score a goal
1038;Spielstand;score
1039;Fußball;football (BE) / soccer (AE)
1040;Basketball;basketball
1041;Tennis;tennis
1042;Schläger;racket
1043;Volleyball;volleyball
1044;schießen;to kick
1045;springen;to jump
1046;Sprung;jump
1047;Trainer;coach
1048;Übung;exercise
1049;Match;match
1050;Marathon;marathon
1051;Sporthalle;gym
1052;Meisterschaft;championship
1053;Athlet;athlete
1054;Schwimmen;swimming
1055;Geige;violin
1056;Flöte;flute
1057;Musik;music
1058;Kamera;camera
1059;Foto;photo
1060;Film;film (BE) / movie (AE)
1061;Kunst;art
1062;Stil;style
1063;Geräusch;sound
1064;Figur;figure
1065;Lied;song
1066;Fotografie;photography
1067;Tanz;dance
1068;Instrument;instrument
1069;Literatur;literature
1070;Mode;fashion
1071;Theater;theater
1072;Poesie;poetry
1073;Konzert;concert
1074;Eröffnung;opening
1075;Gemälde;painting
1076;malen;to paint
1077;Publikum;audience
1078;Sammlung;collection
1079;Band;band
1080;Musical;musical
1081;Suche;search
1082;Information;information
1083;Kommentar;comment
1084;Netzwerk;network
1085;Presse;press
1086;Text;text
1087;Kanal;channel
1088;Kommunikation;communication
1089;Nachrichten;news
1090;Nachricht;message
1091;Internet;Internet
1092;Sprache;language
1093;Briefmarke;stamp
1094;Zugang;access
1095;Journalist;journalist
1096;eine Geschichte;a story
1097;Postkarte;postcard
1098;krank;sick / ill
1099;Hand;hand
1100;Auge;eye
1101;Gesundheit;health
1102;Pflege;care
1103;Körper;body
1104;Kopf;head
1105;Hilfe;help
1106;Notfall;emergency
1107;Behandlung;treatment
1108;Herz;heart
1109;Gesicht;face
1110;Krebs (Krankheit);cancer
1111;Medizin;medicine
1112;Krankenwagen;ambulance
1113;Blut;blood
1114;Krankheit;disease / illness
1115;Haar;hair
1116;Patient;patient
1117;Geduld;patience
1118;geduldig;patient
1119;Krankenhaus;hospital
1120;Operation;operation
1121;Haut;skin
1122;Fuß;foot
1123;Diät;diet
1124;Sicht;sight / view
1125;Schmerz;pain
1126;Droge;drug
1127;Virus;virus
1128;Gehirn;brain
1129;Arm;arm
1130;Bein;leg
1131;Mund;mouth
1132;Traum;dream
1133;Unfall;accident
1134;Hals;neck
1135;Finger;finger
1136;Ohr;ear
1137;Brust;chest
1138;Zahn;tooth
1139;Zähne;teeth
1140;Zunge;tongue
1141;Nase;nose
1142;Lippe;lip
1143;Rücken;back
1144;Zustand;condition
1145;Bedingung;condition
1146;Termin;appointment
1147;Krankenschwester;nurse
1148;Sicherheit;security / safety
1149;Gesetz;law
1150;Regierung;government
1151;Steuer;tax
1152;Gericht;court
1153;Krieg;war
1154;Präsident;president
1155;national;national
1156;Nation;nation
1157;Gesellschaft;society
1158;Rat;advice
1159;Investition;investment
1160;wählen (polit.);to vote
1161;Wählerstimme;vote
1162;Strategie;strategy
1163;Meinung;opinion
1164;Schulden;dept
1165;Fortschritt;progress
1166;Frieden;peace
1167;Wirtschaft;economy
1168;Armee;army
1169;Nachfrage;demand
1170;Kriminalität;crime
1171;Führer;leader
1172;Freiheit;freedom
1173;Streit;argument
1174;Kampagne;campaign
1175;Kongress;congress
1176;Wahl (polit.);election
1177;Königin;queen
1178;Rede;speech
1179;Gewalt;violence
1180;Konflikt;conflict
1181;Marine;navy
1182;Kandidat;candidate
1183;Bedrohung;threat
1184;Gouverneur;governor
1185;Senator;senator
1186;Krise;crisis
1187;Parlament;parliament
1188;Streik;strike
1189;Bürgermeister;mayor
1190;Reichtum, Wohlstand;wealth
1191;beschuldigen;to blame
1192;Plan;plan
1193;Entscheidung;decision
1194;König;king
1195;Ursache;cause
1196;Waffe;weapon
1197;verhaften;to arrest
1198;Prinz;prince
1199;Forschung;research
1200;Linie;line
1201;Detail;detail
1202;Technologie;technology
1203;Projekt;project
1204;Größe;size
1205;Artikel;article
1206;Wissenschaft;science
1207;Analyse;analysis
1208;Energie;energy
1209;Edition;edition
1210;Einheit;unit
1211;Gewicht;weight
1212;Methode;method
1213;Geschwindigkeit;speed / velocity
1214;Volumen;volume
1215;Länge;length
1216;Stichprobe;sample
1217;Entfernung;distance
1218;Veröffentlichung;publication
1219;Theorie;theory
1220;Oberfläche;surface
1221;Definition;definition
1222;Skala;scale
1223;Temperatur;temperature
1224;Technik;technique
1225;Masse;mass
1226;Grenze (techn.);limit
1227;Menge;quantity
1228;Aufgabe;task
1229;Labor;laboratory
1230;Tiefe;depth
1231;Höhe;height
1232;Physik;physics
1233;Philosophie;philosophy
1234;Maß;measure
1235;Konzept;concept
1236;Chemue;chemistry
1237;Entdeckung;discovery
1238;Formel;formula
1239;Untersuchung;investigation / examination
1240;Wissenschaftler;scientist
1241;Geographie;geography
1242;elektisch;electric
1243;Elektrizität;electricity
1244;Kreislauf;cycle
1245;Schlussfolgerung;conclusion
1246;Grund;reason
1247;Abnahme;decrease
1248;Alkohol;alcohol
1249;Geld;money
1250;zwei Dollar;two dollars
1251;Geschäft;business
1252;Produkt;product
1253;Vorstand;board
1254;Versicherung;insurance
1255;Verkauf;sale
1256;Kreditkarte;credit card
1257;Industrie;industry
1258;Angebot;offer
1259;Gold;gold
1260;Silber;silver
1261;Handel;trade
1262;Risiko;risk
1263;Marke;brand
1264;Vertrag;contract
1265;Geschäft, Abmachung;deal
1266;Etat;budget
1267;Vertreter;agent
1268;wert;worth
1269;Währung;currency
1270;Werbung;advertisement
1271;Beförderung;promotion
1272;Preis (Wettbewerb);prize / award
1273;Preis (einer Ware);price
1274;Firma;firm
1275;werben;to advert
1276;Kosten;costs
1277;Organisation;organization
1278;Interview;interview
1279;Vorstellungsgespräch;job interview
1280;Besprechung;meeting
1281;Unternehmen;company
1282;global;global
1283;Aktion;action
1284;Start;start
1285;Lieferung;delivery
1286;Diskussion;discussion
1287;Tod;death
1288;Verkehr;traffic
1289;Angriff;attack
1290;Schlacht;battle
1291;Lärm;noise
1292;kann / darf;can / may
1293;muss;must
1294;soll;shall
1295;darf nicht;must not
1296;sollte;should
1297;würde;would
1298;könnte;could
1299;Kraft;power / force
1300;Qualität;quality
1301;Blick;look
